month,scenario,total_rbp_eib,total_qap_eib,cc_qap_eib,verified_qap_eib,cc_reward_per_eib_day,verified_reward_per_eib_day,cc_pledge_per_sector,new_cc_pledge,reward_ratio_cc_vs_current,total_qap_share_cc,total_qap_share_verified,effective_multiplier
14,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
15,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
16,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
17,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
18,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
19,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
20,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
21,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
22,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
23,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
24,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
25,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
26,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
27,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
28,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
29,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
30,Status Quo,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
0,Daybreak,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,0.26559674903104624,1.0,0.2988929889298893,0.7011070110701108,10.0
1,Daybreak,2.1562566666666667,5.743266666666667,1.7577,3.9855666666666667,45966.87135079919,459668.7135079919,0.2712721955461437,0.2712721955461437,1.0239294710327453,0.3060453400503778,0.6939546599496221,9.25
2,Daybreak,2.1425133333333335,5.605833333333333,1.7577,3.848133333333333,47093.8011000446,470938.011000446,0.2772259220194007,0.2772259220194007,1.0490322580645162,0.31354838709677424,0.6864516129032259,8.5
3,Daybreak,2.1287700000000003,5.4684,1.7577,3.7107,48277.375466315556,482773.75466315553,0.2834789098762342,0.2834789098762342,1.0753968253968254,0.32142857142857145,0.6785714285714286,7.75
4,Daybreak,2.1150266666666666,5.330966666666667,1.7577,3.573266666666667,49521.975376573355,495219.75376573356,0.2900543041625922,0.2900543041625922,1.1031207598371777,0.32971506105834464,0.6702849389416554,7.0
5,Daybreak,2.1012833333333334,5.193533333333334,1.7577,3.4358333333333335,50832.44547706763,508324.4547706763,0.2969776998178662,0.2969776998178662,1.1323119777158772,0.3384401114206128,0.6615598885793872,6.25
6,Daybreak,2.08754,5.0561,1.7577,3.2984,52214.15715670181,522141.5715670181,0.30427747463608784,0.30427747463608784,1.1630901287553648,0.3476394849785408,0.6523605150214592,5.5
7,Daybreak,2.0737966666666665,4.918666666666667,1.7577,3.1609666666666665,53673.08213608024,536730.8213608024,0.3119851780470924,0.3119851780470924,1.1955882352941176,0.3573529411764706,0.6426470588235293,4.75
8,Daybreak,2.0600533333333333,4.781233333333334,1.7577,3.023533333333334,55215.87874816121,552158.7874816121,0.3201359869491987,0.3201359869491987,1.2299546142208773,0.367624810892587,0.6323751891074131,4.0
9,Daybreak,2.04631,4.6438,1.7577,2.8861,56849.993539773466,568499.9353977346,0.32876924248413986,0.32876924248413986,1.266355140186916,0.3785046728971963,0.6214953271028038,3.25
10,Daybreak,2.032566666666667,4.506366666666667,1.7577,2.748666666666667,58583.781464742475,585837.8146474247,0.3379290850340534,0.3379290850340534,1.304975922953451,0.3900481540930979,0.6099518459069021,2.5
11,Daybreak,2.018823333333333,4.368933333333334,1.7577,2.6112333333333333,60426.64876247444,604266.4876247444,0.3476652090688952,0.3476652090688952,1.346026490066225,0.402317880794702,0.597682119205298,1.75
12,Daybreak,2.00508,4.2315,1.7577,2.4737999999999998,62389.22367954627,623892.2367954627,0.35803376509232515,0.35803376509232515,1.38974358974359,0.4153846153846154,0.5846153846153846,1.0
13,Daybreak,1.9913366666666668,4.0940666666666665,1.7577,2.3363666666666667,64483.56157691619,644835.6157691618,0.3690984432516037,0.3690984432516037,1.4363957597173145,0.4293286219081272,0.5706713780918728,1.0
14,Daybreak,1.9775933333333333,3.9566333333333334,1.7577,2.198933333333333,66723.39278342699,667233.9278342698,0.38093178278209344,0.38093178278209344,1.486288848263254,0.44424131627056673,0.5557586837294333,1.0
15,Daybreak,1.96385,3.8192000000000004,1.7577,2.0615,69124.42396313364,691244.2396313364,0.3936167641727321,0.3936167641727321,1.539772727272727,0.4602272727272727,0.5397727272727273,1.0
16,Daybreak,1.9501066666666667,3.6817666666666664,1.7577,1.9240666666666666,71704.70697943923,717047.0697943923,0.40724875792652265,0.40724875792652265,1.5972495088408647,0.47740667976424367,0.5225933202357564,1.0
17,Daybreak,1.9363633333333334,3.5443333333333333,1.7577,1.7866333333333335,74485.09357660115,744850.9357660115,0.42193792670611735,0.42193792670611735,1.6591836734693879,0.4959183673469388,0.5040816326530613,1.0
18,Daybreak,1.92262,3.4069000000000003,1.7577,1.6492,77489.80011153834,774898.0011153833,0.4378122088904352,0.4378122088904352,1.7261146496815283,0.5159235668789809,0.48407643312101906,1.0
19,Daybreak,1.9088766666666668,3.269466666666667,1.7577,1.511766666666667,80747.11471799681,807471.1471799681,0.45502105462122217,0.45502105462122217,1.7986725663716812,0.5376106194690264,0.46238938053097345,1.0
20,Daybreak,1.8951333333333333,3.1320333333333332,1.7577,1.3743333333333334,84290.29065250476,842902.9065250476,0.4737401454738797,0.4737401454738797,1.877598152424942,0.561200923787529,0.43879907621247116,1.0
21,Daybreak,1.8813900000000001,2.9946,1.7577,1.2369000000000003,88158.68563414145,881586.8563414145,0.49417741374779556,0.49417741374779556,1.9637681159420288,0.5869565217391304,0.4130434782608697,1.0
22,Daybreak,1.8676466666666667,2.857166666666667,1.7577,1.0994666666666668,92399.2300064166,923992.3000641661,0.5165807989695818,0.5165807989695818,2.0582278481012657,0.6151898734177215,0.3848101265822785,1.0
23,Daybreak,1.8539033333333332,2.719733333333333,1.7577,0.9620333333333331,97068.34003333662,970683.4003333661,0.5412483561020807,0.5412483561020807,2.162234042553192,0.6462765957446809,0.35372340425531906,1.0
24,Daybreak,1.84016,2.5823,1.7577,0.8245999999999998,102234.44216396236,1022344.4216396236,0.5685415915848173,0.5685415915848173,2.277310924369748,0.680672268907563,0.3193277310924369,1.0
25,Daybreak,1.8264166666666668,2.4448666666666665,1.7577,0.6871666666666665,107981.34867613777,1079813.4867613777,0.5989032973289268,0.5989032973289268,2.405325443786982,0.7189349112426036,0.2810650887573964,1.0
26,Daybreak,1.8126733333333334,2.307433333333333,1.7577,0.5497333333333332,114412.83966311776,1144128.3966311775,0.6328817579892625,0.6328817579892625,2.54858934169279,0.761755485893417,0.23824451410658304,1.0
27,Daybreak,1.79893,2.17,1.7577,0.4122999999999999,121658.9861751152,1216589.861751152,0.6711641569999072,0.6711641569999072,2.71,0.81,0.18999999999999995,1.0
28,Daybreak,1.7851866666666667,2.032566666666667,1.7577,0.2748666666666666,129885.03862111943,1298850.3862111943,0.7146235352361908,0.7146235352361908,2.8932384341637007,0.8647686832740213,0.1352313167259786,1.0
29,Daybreak,1.7714433333333335,1.8951333333333333,1.7577,0.1374333333333333,139304.18264326168,1393041.826432617,0.76438618207163,0.76438618207163,3.1030534351145036,0.9274809160305344,0.07251908396946563,1.0
30,Daybreak,1.7577,1.7577,1.7577,0.0,150196.27922853729,1501962.792285373,0.8219306419924469,0.8219306419924469,3.3456790123456788,1.0,0.0,1.0
0,Looking Forward,2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,2.6559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
1,Looking Forward,2.1562566666666667,7.325196666666667,3.33963,3.9855666666666667,36039.98800487268,360399.8800487268,0.21882709130326422,2.188270913032642,0.8028043843191467,0.45590994371482174,0.5440900562851783,10
2,Looking Forward,2.1425133333333335,8.611500333333334,4.763367000000001,3.848133333333333,30656.678834245722,306566.7883424572,0.19038632084321516,1.9038632084321516,0.6828891334111697,0.5531401980630476,0.4468598019369524,10
3,Looking Forward,2.1287700000000003,9.7554303,6.0447303,3.7107,27061.850874994205,270618.50874994206,0.17139434516582125,1.7139434516582122,0.6028129789415849,0.6196272346899963,0.3803727653100038,10
4,Looking Forward,2.1150266666666666,10.771223936666669,7.197957270000002,3.573266666666667,24509.74945394173,245097.49453941733,0.1579112386961133,1.5791123869611328,0.5459639530825573,0.6682580654086305,0.33174193459136947,10
5,Looking Forward,2.101283333333333,11.671694876333333,8.235861543,3.4358333333333335,22618.82295563707,226188.2295563707,0.14792121122591995,1.4792121122591992,0.5038428490727838,0.705626871697943,0.294373128302057,10
6,Looking Forward,2.0875399999999997,12.4683753887,9.169975388700001,3.2984,21173.56846981535,211735.6846981535,0.14028573093214652,1.402857309321465,0.4716492579562239,0.735458718784701,0.264541281215299,10
7,Looking Forward,2.0737966666666665,13.171644516496666,10.01067784983,3.1609666666666665,20043.055342812844,200430.55342812845,0.13431307297622128,1.3431307297622124,0.4464666498275738,0.7600173112242931,0.23998268877570694,10
8,Looking Forward,2.0600533333333333,13.790843398180336,10.767310064847,3.023533333333334,19143.136672470235,191431.36672470235,0.1295586775802485,1.295586775802485,0.426420620567408,0.78075790972057,0.21924209027942995,10
9,Looking Forward,2.0463099999999996,14.334379058362298,11.4482790583623,2.8861,18417.260972737382,184172.6097273738,0.12572377538453733,1.2572377538453732,0.4102514644029421,0.7986588754037222,0.20134112459627787,10
10,Looking Forward,2.032566666666667,14.809817819192737,12.06115115252607,2.748666666666667,17826.012664238857,178260.12664238858,0.12260012840571434,1.2260012840571433,0.39708118437344486,0.8144023984478364,0.18559760155216365,10
11,Looking Forward,2.018823333333333,15.223969370606797,12.612736037273464,2.6112333333333333,17341.075351196498,173410.75351196498,0.12003813718979009,1.200381371897901,0.38627902203705017,0.828478810632995,0.17152118936700506,10
12,Looking Forward,2.00508,15.582962433546118,13.109162433546118,2.4737999999999998,16941.579698073056,169415.79698073055,0.11792754613693626,1.1792754613693628,0.37738010503961444,0.8412496975110109,0.15875030248898908,10
13,Looking Forward,1.9913366666666668,15.892312856858172,13.555946190191506,2.3363666666666667,16611.80486300793,166118.04863007928,0.11618529985489794,1.1618529985489792,0.3700342456738285,0.8529876244124888,0.1470123755875112,10
14,Looking Forward,1.9775933333333333,16.156984904505688,13.958051571172355,2.198933333333333,16339.682283566317,163396.82283566316,0.11474763845117922,1.1474763845117923,0.36397261214003196,0.8639019998885982,0.13609800011140186,10
15,Looking Forward,1.9638499999999999,16.38144641405512,14.319946414055119,2.0615,16115.79303360481,161157.9303360481,0.11356480043002834,1.1356480043002835,0.35898539429060533,0.8741564115955442,0.12584358840445575,10
16,Looking Forward,1.9501066666666664,16.569718439316272,14.645651772649606,1.9240666666666666,15932.678697399375,159326.78697399376,0.11259738194468868,1.125973819446887,0.35490645309013824,0.8838805454834234,0.11611945451657661,10
17,Looking Forward,1.9363633333333332,16.72541992871798,14.938786595384645,1.7866333333333335,15784.357052028641,157843.57052028642,0.11181377808012473,1.1181377808012474,0.3516025322570637,0.893178566460646,0.10682143353935394,10
18,Looking Forward,1.9226199999999998,16.851807935846182,15.20260793584618,1.6492,15665.974891538766,156659.74891538767,0.1111883486748385,1.1118834867483849,0.3489655247904243,0.902135129579069,0.09786487042093081,10
19,Looking Forward,1.9088766666666668,16.95181380892823,15.440047142261562,1.511766666666667,15573.55472256047,155735.5472256047,0.11070008007861284,1.1070008007861285,0.346906830518793,0.9108197692762267,0.08918023072377337,10
20,Looking Forward,1.8951333333333333,17.02807576136874,15.653742428035407,1.3743333333333334,15503.806989098064,155038.06989098064,0.11033159310997717,1.1033159310997716,0.3453531733363219,0.9192901562928646,0.0807098437071355,10
21,Looking Forward,1.88139,17.082968185231866,15.846068185231866,1.2369000000000003,15453.988858225854,154539.88858225854,0.110068397001417,1.1006839700141702,0.3442434556006393,0.9275945499290168,0.0724054500709832,10
22,Looking Forward,1.8676466666666665,17.118628033375344,16.019161366708676,1.0994666666666668,15421.796623262811,154217.96623262812,0.10989832095039333,1.0989832095039331,0.3435263613728091,0.9357736692144316,0.06422633078556826,10
23,Looking Forward,1.8539033333333332,17.136978563371144,16.17494523003781,0.9620333333333331,15405.282735445435,154052.82735445435,0.10981107578614015,1.0981107578614016,0.34315850826641653,0.9438621382540794,0.056137861745920524,10
24,Looking Forward,1.84016,17.13975070703403,16.31515070703403,0.8245999999999998,15402.79112062326,154027.91120623262,0.10979791223877805,1.0979791223877804,0.34310300660245907,0.9518896153103563,0.0481103846896437,10
25,Looking Forward,1.8264166666666664,17.12850230299729,16.441335636330624,0.6871666666666665,15412.906238381569,154129.0623838157,0.10985135181158025,1.0985135181158023,0.3433283246820094,0.959881684077748,0.04011831592225201,10
26,Looking Forward,1.8126733333333334,17.104635406030898,16.554902072697566,0.5497333333333332,15434.412586597235,154344.12586597234,0.10996497283791346,1.0996497283791344,0.3438073867348574,0.9678605640936665,0.03213943590633353,10
27,Looking Forward,1.79893,17.06941186542781,16.657111865427808,0.4122999999999999,15466.262228677168,154662.6222867717,0.11013323892312597,1.1013323892312599,0.34451684957644624,0.9758456821330166,0.024154317866983313,10
28,Looking Forward,1.7851866666666665,17.023967345551693,16.74910067888503,0.2748666666666666,15507.548542671655,155075.48542671656,0.11035136025746538,1.103513602574654,0.34543651785942875,0.9838541356966074,0.01614586430339273,10
29,Looking Forward,1.7714433333333335,16.969323944329858,16.831890610996524,0.1374333333333333,15557.484839471943,155574.84839471942,0.11061518065304494,1.1061518065304494,0.34654886778591915,0.9919010719705628,0.008098928029437224,10
30,Looking Forward,1.7577,16.90640154989687,16.90640154989687,0.0,15615.386823792223,156153.86823792223,0.11092108488277408,1.1092108488277408,0.3478386564192232,1.0,0.0,10
0,Looking Forward (no churn),2.17,5.8807,1.7577,4.123,44892.61482476576,448926.14824765763,0.26559674903104624,2.6559674903104624,1.0,0.2988929889298893,0.7011070110701108,10
1,Looking Forward (no churn),2.1562566666666667,5.743266666666667,1.7577,3.9855666666666667,45966.87135079919,459668.7135079919,0.2712721955461437,2.7127219554614364,1.0239294710327453,0.3060453400503778,0.6939546599496221,10
2,Looking Forward (no churn),2.1425133333333335,5.605833333333333,1.7577,3.848133333333333,47093.8011000446,470938.011000446,0.2772259220194007,2.7722592201940066,1.0490322580645162,0.31354838709677424,0.6864516129032259,10
3,Looking Forward (no churn),2.1287700000000003,5.4684,1.7577,3.7107,48277.375466315556,482773.75466315553,0.2834789098762342,2.8347890987623416,1.0753968253968254,0.32142857142857145,0.6785714285714286,10
4,Looking Forward (no churn),2.1150266666666666,5.330966666666667,1.7577,3.573266666666667,49521.975376573355,495219.75376573356,0.2900543041625922,2.9005430416259217,1.1031207598371777,0.32971506105834464,0.6702849389416554,10
5,Looking Forward (no churn),2.1012833333333334,5.193533333333334,1.7577,3.4358333333333335,50832.44547706763,508324.4547706763,0.2969776998178662,2.969776998178662,1.1323119777158772,0.3384401114206128,0.6615598885793872,10
6,Looking Forward (no churn),2.08754,5.0561,1.7577,3.2984,52214.15715670181,522141.5715670181,0.30427747463608784,3.0427747463608785,1.1630901287553648,0.3476394849785408,0.6523605150214592,10
7,Looking Forward (no churn),2.0737966666666665,4.918666666666667,1.7577,3.1609666666666665,53673.08213608024,536730.8213608024,0.3119851780470924,3.119851780470925,1.1955882352941176,0.3573529411764706,0.6426470588235293,10
8,Looking Forward (no churn),2.0600533333333333,4.781233333333334,1.7577,3.023533333333334,55215.87874816121,552158.7874816121,0.3201359869491987,3.2013598694919865,1.2299546142208773,0.367624810892587,0.6323751891074131,10
9,Looking Forward (no churn),2.04631,4.6438,1.7577,2.8861,56849.993539773466,568499.9353977346,0.32876924248413986,3.287692424841399,1.266355140186916,0.3785046728971963,0.6214953271028038,10
10,Looking Forward (no churn),2.032566666666667,4.506366666666667,1.7577,2.748666666666667,58583.781464742475,585837.8146474247,0.3379290850340534,3.3792908503405332,1.304975922953451,0.3900481540930979,0.6099518459069021,10
11,Looking Forward (no churn),2.018823333333333,4.368933333333334,1.7577,2.6112333333333333,60426.64876247444,604266.4876247444,0.3476652090688952,3.4766520906889524,1.346026490066225,0.402317880794702,0.597682119205298,10
12,Looking Forward (no churn),2.00508,4.2315,1.7577,2.4737999999999998,62389.22367954627,623892.2367954627,0.35803376509232515,3.5803376509232514,1.38974358974359,0.4153846153846154,0.5846153846153846,10
13,Looking Forward (no churn),1.9913366666666668,4.0940666666666665,1.7577,2.3363666666666667,64483.56157691619,644835.6157691618,0.3690984432516037,3.690984432516037,1.4363957597173145,0.4293286219081272,0.5706713780918728,10
14,Looking Forward (no churn),1.9775933333333333,3.9566333333333334,1.7577,2.198933333333333,66723.39278342699,667233.9278342698,0.38093178278209344,3.809317827820935,1.486288848263254,0.44424131627056673,0.5557586837294333,10
15,Looking Forward (no churn),1.96385,3.8192000000000004,1.7577,2.0615,69124.42396313364,691244.2396313364,0.3936167641727321,3.9361676417273213,1.539772727272727,0.4602272727272727,0.5397727272727273,10
16,Looking Forward (no churn),1.9501066666666667,3.6817666666666664,1.7577,1.9240666666666666,71704.70697943923,717047.0697943923,0.40724875792652265,4.0724875792652275,1.5972495088408647,0.47740667976424367,0.5225933202357564,10
